time	incid	trans	refl	U_in	U_out	eng_strain	eng_stress	true_strain	true_stress	F_in	F_out
5e-07	-0.0002214659904236552	-0.0004640616803031441	-0.00011671014396838033	6.880966678960532e-08	1.9792583882798936e-07	8.160670299463319e-06	117.6918387562513	8.16070359796842e-06	117.69087831195827	3376.5251751486962	4633.4314784877815
1e-06	-0.00021908668799692916	-0.0004258458787073008	-1.446280428834029e-05	1.7090545038009256e-07	3.742340841539158e-07	3.3627066577339345e-06	107.99983411492687	3.3627123115942752e-06	107.99947094316566	2331.8787464470483	4251.865178994674
1.5e-06	-0.00016283148299691856	-0.00036686537698561885	9.158429228125489e-05	2.578103022707498e-07	5.245479745456096e-07	8.126698225496609e-06	93.04164214816825	8.126731247265556e-06	93.0408860268201	711.3687473616249	3662.9733896193375
2e-06	-4.3228866905907344e-05	-0.0003089709265305018	9.309405605829596e-05	2.5932062421234026e-07	6.491530576454352e-07	1.0988276448857372e-05	78.35888634856329	1.0988336820405274e-05	78.35802531945787	-497.87980112578026	3084.925296975147
2.4999999999999998e-06	8.243463185960657e-05	-0.00025127429460016437	-4.709763193488229e-05	1.454096759395207e-07	7.59002850173452e-07	2.554890945833597e-06	63.72629979780937	2.5548942095445087e-06	63.726136984063004	-352.82285686588403	2508.852326644747
3e-06	0.00021203786909411597	-0.0002426286809045536	-0.00017059247570403715	-9.056751757041635e-08	8.59134784898184e-07	2.535465061535908e-05	61.53366417155388	2.5354972049959508e-05	61.53210400699773	-413.81221187333523	2422.530054523679
3.5e-06	0.00048247624048179287	-0.00020758118627362907	-0.00019588620627298314	-3.964366181176845e-07	9.404797175814401e-07	4.378212245182163e-05	52.64518175210726	4.378308091691772e-05	52.64287683431329	-2861.4629095351147	2072.5977680246574
4e-06	0.0005965627937383508	-0.00015815918855907092	-0.00010031321375081604	-6.501246012793288e-07	1.0081020166932254e-06	5.0087880089017095e-05	40.111145797589366	5.008913452873236e-05	40.109136715328425	-4954.812092217055	1579.143019098185
4.5e-06	0.00044270319905216605	-0.00014588193863070037	-1.0442470839463204e-06	-7.588828144737433e-07	1.072621501743262e-06	4.8576249219291766e-05	36.997481859648836	4.85774290834819e-05	36.99568466074954	-4409.751069014537	1456.5606152888167
4.9999999999999996e-06	7.058949981411655e-05	-0.00014420841940177283	2.53418930592754e-05	-7.257820186913256e-07	1.129240558134811e-06	4.585465824781385e-05	36.57305647913097	4.585570960478282e-05	36.57137943412504	-957.828569737524	1439.8513350265418
5.5e-06	-0.0001756698968337839	-0.0001103602946440302	1.840440455810387e-05	-6.036018038149178e-07	1.1760455611404032e-06	4.1362036992556094e-05	27.988749240947794	4.136289242520537e-05	27.987591569266314	1570.2198938598203	1101.8941767499596
6e-06	-0.0003014592358061843	-0.00010008279970294606	5.3809072255403015e-05	-4.532754513116601e-07	1.2155614174781837e-06	2.9965609099900202e-05	25.382248146881775	2.996605807768045e-05	25.38148755235573	2472.6671305832942	999.2783594971523
6.5e-06	-0.00019124924426469045	-7.75870763677716e-05	0.00012937478292045324	-3.126139436430512e-07	1.2537140514282677e-06	1.2963292517738538e-05	19.677051713211373	1.296337654196734e-05	19.676796633834126	617.7865768179475	774.6694399146077
7e-06	-0.000167896572362622	-9.395352464413045e-05	0.00014391698251491105	-1.8257450856254544e-07	1.286021181666958e-06	3.691263118014158e-07	23.827787430703673	3.6912637997706597e-07	23.827778635240378	239.4246091791718	938.080511876391
7.499999999999999e-06	-0.0002024798227679983	-5.130471743072782e-05	7.03855957156034e-05	-8.343105001624972e-08	1.3102287465090965e-06	5.319824564859756e-07	13.011517191740305	5.319825980335723e-07	13.011510269841427	1318.8969822961096	512.2527948939214
8e-06	-0.0002577699291309828	-5.7536528693666814e-05	-8.486983408068141e-05	-7.44638454395359e-11	1.3330176112672078e-06	1.7144071316968787e-05	14.591982370071987	1.7144218278191644e-05	14.591732204085579	3421.092350502719	574.4744169309622
8.5e-06	-0.0003840344997659329	-4.4926005402927485e-05	-0.00018214949062791012	9.296803960946227e-08	1.3561947953759078e-06	3.8422386450562014e-05	11.39379614449065	3.842312460937438e-05	11.393358367652048	5653.07336299123	448.56443975433757
9e-06	-0.0003763233959859187	-5.9282477213805886e-05	-0.00015987380250679408	1.753411438299015e-07	1.3781314123127737e-06	5.986755013862496e-05	15.034776723561144	5.986934227195533e-05	15.033876628311823	5353.669746121169	591.9068686424393
9.499999999999999e-06	-0.0003387449921742189	-3.9348208637165856e-05	-0.00018483138022754435	2.188002498215002e-07	1.3922944676489635e-06	8.116960841423313e-05	9.979197211990277	8.1172902845138e-05	9.978387204460292	5227.656900466416	392.8728362196422
9.999999999999999e-06	-0.0001990593271002352	-2.433124866356592e-05	-0.00015757355532435008	2.2464426049088595e-07	1.4098614097962359e-06	9.629384541904622e-05	6.170708584643405	9.62984819690758e-05	6.1701143833848295	3560.806879401177	242.9357524091098
1.05e-05	-7.032021662141151e-05	-5.4652651054261905e-05	-8.553034242596015e-05	2.3311280472919823e-07	1.4306502444648403e-06	0.0001005233285246791	13.860594977973834	0.00010052838133313488	13.859201664831316	1556.092469773178	545.6802932149143
1.1e-05	-3.573961761855571e-05	-3.881741442156168e-05	1.7546494505484576e-05	2.8973917351176996e-07	1.444493178357089e-06	9.266141559633969e-05	9.844581168720275	9.266570893057435e-05	9.843668955893227	181.64953690863123	387.57311264502374
1.15e-05	-9.249119088644586e-05	-2.3422723513637128e-05	0.0001088242887640868	3.9760017357826077e-07	1.4589375318839308e-06	7.730597747240557e-05	5.940295258161525	7.730896573343723e-05	5.939836037830118	-163.07808435733656	233.86456810893657
1.2e-05	-0.00014564966491034098	-4.152149733529841e-05	0.00013799588857141322	5.248935117218054e-07	1.4767145292607604e-06	5.76187030210765e-05	10.530370372558746	5.7620363042357556e-05	10.529763626275548	76.41925572248665	414.57207296591065
1.2499999999999999e-05	-0.00011023316889393036	-3.840684570382431e-05	0.00017845334147405064	5.912517137288945e-07	1.494536823289536e-06	4.383716770577994e-05	9.740455813455556	4.383812858244695e-05	9.740028819460532	-681.1454350079349	383.47378253096645
1.3e-05	3.339721789767291e-05	-4.172515863188878e-05	4.306824345389928e-05	5.374055463425394e-07	1.5139909458958035e-06	4.6402066218810384e-05	10.582021421323525	4.640314282804408e-05	10.581530393664803	-763.4706563403895	416.60553253093013
1.35e-05	0.00016747647000093922	-4.574381895965752e-05	-8.429589848557081e-05	3.7911346437755957e-07	1.5360458794483153e-06	6.809529796658509e-05	11.601203877851598	6.809761655664598e-05	11.600413890416764	-830.5177842008966	456.7299126604644
1.4e-05	0.00019553853444835556	-5.3418838114694754e-05	-0.0002643966795933443	2.1712633854522417e-07	1.5600079585772506e-06	9.682734274911101e-05	13.547684604844006	9.683203081884949e-05	13.546372818543317	687.5152825733319	533.3612676297346
1.45e-05	7.094955943961763e-05	-5.4318663328852774e-05	-0.00019743634211516744	1.4618992743297295e-07	1.5859304866181038e-06	0.00011247915219442607	13.775891518942828	0.00011248547844870269	13.774342018344054	1262.9093617009964	542.345587278134
1.4999999999999999e-05	-3.591621789983058e-06	-6.223334316416402e-05	-5.41476473310658e-05	1.4074754598783428e-07	1.610975120985738e-06	0.00011440611188873786	15.783153188073351	0.00011441265676713807	15.78134749888376	576.4986820622274	621.3698382508234
1.55e-05	-2.9120808745293794e-06	-5.037150705844716e-05	2.317409062563578e-05	1.632129700060517e-07	1.6338635405106444e-06	0.00010239335785384948	12.774843384524917	0.00010239860041162967	12.773535325414718	-202.306369568965	502.9351405852272
1.6e-05	9.499434600413483e-05	-5.253864186211952e-05	0.00016991646512721186	1.846763961306206e-07	1.6553130068027918e-06	8.568109664420949e-05	13.324455840589499	8.56847674790401e-05	13.32331418660089	-2645.0063502030484	524.5729336710571
1.6499999999999998e-05	7.71319874992061e-05	-4.390173349842431e-05	9.871300946987858e-05	2.0606011001127733e-07	1.6785323596845808e-06	7.692930044317646e-05	11.134027995246784	7.693225965363018e-05	11.133171462261995	-1755.7272640113424	438.33758007965935
1.7e-05	-3.260214374860526e-05	-6.049634695024561e-05	4.1961575840467974e-05	2.220154875498747e-07	1.7078008278071368e-06	7.661691443744364e-05	15.342629251265722	7.66198496631037e-05	15.341453746353134	-93.44940363719924	604.0267709880271
1.75e-05	-3.411466401717851e-05	-7.109956380678695e-05	-3.694034696312801e-05	2.0170959797581593e-07	1.7345640796744922e-06	8.152358758150641e-05	18.031737491710057	8.152691080979287e-05	18.030267479779404	709.4499256335528	709.8947640622185
1.8e-05	4.6544465518510825e-05	-4.923247713082116e-05	-4.192851537543651e-05	1.2448256127734653e-07	1.7567316031339322e-06	9.094235533880363e-05	12.485971167165502	9.094649084552435e-05	12.484835663538867	-46.088030112892255	491.5624775414817
1.85e-05	0.00014928581271821283	-5.043640293006475e-05	-0.00010946683455694234	1.0152563595444046e-09	1.785005470892163e-06	0.00010846384130149361	12.791301788186633	0.00010846972392928306	12.78991439445944	-397.5732422748764	503.5830944826066
1.8999999999999998e-05	0.00012420698001548453	-7.668761882223402e-05	-0.00017216995350395316	-1.3133571915711979e-07	1.8125349697890524e-06	0.00013582299699039347	19.44893804446727	0.00013583222176899887	19.44629643141379	478.8870975474072	765.6887912595953
1.95e-05	3.109958168759982e-05	-4.7089596467996274e-05	-0.0002675955292118018	-2.3297335714255e-07	1.8356572066178708e-06	0.00016702233874168673	11.942509864180247	0.0001670362885257872	11.940515198252285	2361.297677234669	470.16685032380326
1.9999999999999998e-05	-7.561167114345508e-05	-5.6871834020509195e-05	-0.00023389632023287994	-2.661599946431352e-07	1.858914769138199e-06	0.00018636311956610405	14.42340749820516	0.0001863804873301098	14.420719506989021	3090.287629760408	567.8377620359064
2.05e-05	-8.605543777659553e-05	-4.7698043331305845e-05	-7.698344199605127e-05	-2.2724935953489562e-07	1.884587721333131e-06	0.00018172549539475718	12.096819588873737	0.0001817420094733013	12.094621288341248	1627.864376266726	476.2418980364351
2.1e-05	-1.4349038693940151e-05	-6.773182856247534e-05	0.00015152766607801272	-1.1313004824684921e-07	1.914825117250873e-06	0.000156010654247974	17.177637767103725	0.0001560228251759722	17.174957872597243	-1369.6622610207824	676.2695561329344
2.1499999999999997e-05	-8.541529826233973e-05	-6.822054304967922e-05	0.0002618074404019802	2.0551130418016442e-08	1.939941030285402e-06	0.0001279913936314515	17.301581865630176	0.00012799958522879783	17.299367412055165	-1761.190243964567	681.1491339673385
2.2e-05	-6.526168666039931e-05	-4.470478793906718e-05	0.00018856843414895847	1.1642630361455782e-07	1.9614428212136164e-06	0.00011418672746743596	11.337692632410734	0.0001141932472681218	11.336398018392007	-1231.1582480807633	446.3556903485
2.2499999999999998e-05	-0.00014391568575907333	-5.1970847706005555e-05	3.332495131875296e-05	2.281763602726546e-07	1.9832195999589027e-06	0.00011069657874355506	13.180456150237013	0.00011070270606197784	13.178997118834904	1104.1950066856045	518.903783581954
2.3e-05	-0.00030243125596954046	-4.594117899592628e-05	2.277498669687742e-05	3.7348755457545117e-07	2.0094442276955252e-06	0.00010818387535650796	11.651256848289272	0.00010818972765402363	11.64999637017065	2792.232619504294	458.70045718817846
2.35e-05	-0.0003105234109150984	-7.19691180792194e-05	1.761369453624287e-05	5.146541806216866e-07	2.0329419775765404e-06	0.00010590723484086644	18.252267316870533	0.00010591284340802084	18.250334269709427	2924.5618800892016	718.576842995153
2.4e-05	-0.0002875910127254652	-3.368068167747011e-05	1.8980560298073442e-05	6.282496268496937e-07	2.0481389341538406e-06	0.00010328909520470173	8.541841581481217	0.00010329442989067992	8.540959302392883	2681.9454795640645	336.2853200879972
2.45e-05	-0.00018106960411515808	-3.464736792016787e-05	2.31028816767959e-05	7.18061685407011e-07	2.0688098581229663e-06	9.572647216606304e-05	8.787005287584147	9.57310542372027e-05	8.786164138567063	1577.2213379508605	345.93721477538224
2.4999999999999998e-05	-0.00010118032114742607	-5.8292551399016565e-05	9.845717701074563e-05	8.208434639244663e-07	2.083766932168181e-06	7.335539382405383e-05	14.783719171688452	7.335808446251036e-05	14.782634706146428	27.189277414830432	582.0229380653311
2.55e-05	-1.3555395225113703e-06	-8.956946353942297e-06	0.0002611309688302142	9.793086451771764e-07	2.0938254749542098e-06	3.2878818385313516e-05	2.2715934772893753	3.2879358905514935e-05	2.2715187899799902	-2593.732045933448	89.43077816804909
2.6e-05	-6.051811661838933e-05	-3.626793843583987e-05	0.00038948124080461405	1.1983560163761804e-06	2.1087087451042584e-06	1.8909563143277153e-05	9.198002213033824	1.890974193136416e-05	9.197828282830184	-3284.537723240692	362.11782773941485
2.65e-05	-9.191950095819441e-05	-3.0649724703803855e-05	0.00044295463042472047	1.4387861039290035e-06	2.124753144159571e-06	7.424713304891148e-05	7.773153033034724	7.424988950375558e-05	7.77257589870727	-3504.916022936306	306.02268034029527
2.7e-05	-9.960944378458058e-05	-4.1488567515391655e-05	0.00044653017015125956	1.634951373949237e-06	2.139470109691759e-06	0.00012158542395099178	10.522018958901397	0.00012159281605786694	10.520739634765459	-3463.835697524465	414.2432846375204
2.7499999999999998e-05	-2.147628137907944e-05	-2.468136234491458e-05	0.00031437585290772224	1.769504096492823e-06	2.1562399639551296e-06	0.0001551925462583488	6.259501787531278	0.00015520458986767352	6.258530359510562	-2924.460588665421	246.43146821816006
2.8e-05	-4.330116211632181e-05	-5.071869739891066e-05	0.00022581816960659423	1.8922690145420394e-06	2.175311804563712e-06	0.00017716532114829184	12.86289519164863	0.0001771810167776596	12.860616332691103	-1822.344062781451	506.4016682491352
2.8499999999999998e-05	-0.00015548447277989176	-3.503147661737757e-05	0.0001273677278661448	2.079877402174416e-06	2.191458307470485e-06	0.00019643972930654855	8.884420051128826	0.00019645902611727	8.882674798058938	280.73210197158295	349.77235437934553
2.9e-05	-0.00037822120453572493	-3.756589153529171e-05	0.00018244517367800686	2.3934533551785668e-06	2.20685048119332e-06	0.00022001207982044112	9.527179331890254	0.00022003628602861258	9.525083237350623	1954.728999638543	375.07726180574923
2.95e-05	-0.0006527713933576944	-3.1639886884860656e-05	0.00019645197579407338	2.8509201493823026e-06	2.228525422872209e-06	0.0002482712582523333	8.024270530345321	0.00024830208266315003	8.022278334604195	4556.1287288433905	315.9089709202883
2.9999999999999997e-05	-0.0009498432933160358	-6.581426339370556e-05	0.00025778028873789946	3.5042686716471535e-06	2.254598425898747e-06	0.0002970063245895367	16.691319287844607	0.0002970504397031283	16.686361860450376	6909.914450196514	657.1235951709658
3.05e-05	-0.0012043630479789391	-5.141430371411291e-05	0.0005255772174902617	4.419799668658176e-06	2.2782530982328275e-06	0.0003710994698908022	13.039309642057749	0.00037116834433909663	13.03447076116184	6777.348287156992	513.3469609425279
3.1e-05	-0.0017210588128600654	-5.494104554530232e-05	0.000665380872731776	5.63300633403255e-06	2.3005691046298556e-06	0.0004634869802272544	13.933735423260222	0.0004635944235179926	13.92727731830561	10540.433753849886	548.559772753359
3.15e-05	-0.002248702577075925	-4.5395438550134936e-05	0.0008196371059663333	7.112839547886995e-06	2.3266481379941633e-06	0.0005703017580882912	11.512850254349255	0.0005704644419914445	11.506284455608593	14268.527697296044	453.25150273246527
3.2e-05	-0.002687955259961487	-7.186024196135347e-05	0.0008972818253548317	8.807526881315968e-06	2.350304797900939e-06	0.0006886677022214797	18.224654973399478	0.0006889049427497558	18.212104242135165	17879.008355480662	717.4897676058512
3.25e-05	-0.0030290514194074914	-3.450404375616189e-05	0.0010053081942617845	1.0722111549922059e-05	2.3722554811970693e-06	0.0008249195177393687	8.750656489318692	0.0008252599510776505	8.74343790198762	20206.097511953893	344.5061923028966
3.2999999999999996e-05	-0.0033891564835347317	-6.418988679045643e-05	0.0011847756702937679	1.2935781677973516e-05	2.3990246356175738e-06	0.000985971290866663	16.279357091043224	0.000986457680296804	16.26330611231769	22009.676480878734	640.9049802629281
3.35e-05	-0.00397516003736143	-5.6168693009867606e-05	0.0014039376495506544	1.552464002707958e-05	2.4241893162802076e-06	0.001174146625796602	14.24508215491614	0.0011748364759891113	14.22835633976975	25672.41221488602	560.8172390519914
3.4e-05	-0.004640086662078011	-5.6975905362777894e-05	0.0016207542649823129	1.8516086855139543e-05	2.4484991984462337e-06	0.0013884051723385804	14.44980129056792	0.001389369899858424	14.429739111716831	30146.5739717669	568.876864064243
3.45e-05	-0.0053660087186884475	-5.232537650270413e-05	0.001823193867680205	2.194995179072664e-05	2.472800086284309e-06	0.0016361427556308825	13.27036908152718	0.001637482698947729	13.248656863289892	35373.29314153322	522.4435821828222
3.5e-05	-0.0060911370084499	-5.693546536525633e-05	0.0021588894664036806	2.5906484712135696e-05	2.4998907922940352e-06	0.0019386865561207322	14.439545202057225	0.001940568241293982	14.4115514498975	39261.590249428125	568.4730902439526
3.5499999999999996e-05	-0.0068350671486442395	-6.486886397214027e-05	0.0027041378133109127	3.0449987988379455e-05	2.529400080040288e-06	0.0023118278058249786	16.451554185476247	0.002314504205439198	16.41352102506123	41245.33188182822	647.6842390992399
3.6e-05	-0.007595484567152684	-6.780981194963516e-05	0.0032936584514299296	3.555548496567041e-05	2.5543688545524916e-06	0.002748112960602378	17.19741532818415	0.002751895955345304	17.150154888231903	42951.65359602648	677.0481825444697
3.65e-05	-0.00834692225590425	-4.445395971965156e-05	0.0037191000515762454	4.1199633364609264e-05	2.5789790691775974e-06	0.0032322324244279696	11.274079462851683	0.0032374673710705345	11.237639017656276	46206.566903716	443.85129186687095
3.7e-05	-0.009248472216649326	-6.619766693726211e-05	0.0040625373688991375	4.73956649338289e-05	2.6054479080320757e-06	0.0037605927158847986	16.788555215614718	0.0037676815223287633	16.725420297160646	51779.05177013527	660.951694156683
3.75e-05	-0.010117162939172858	-5.2810644025614425e-05	0.004430218082418448	5.417919879505976e-05	2.6395954464771484e-06	0.004335151930382308	13.393438986852473	0.004344575947738987	13.335376393974164	56781.39444415476	527.2887437455514
3.7999999999999995e-05	-0.011147388381904646	-0.0001007223800798397	0.004805129425574929	6.162392924560116e-05	2.67028950482748e-06	0.004962599096572532	25.54445371951138	0.004974953682321468	25.417686836560495	63324.388848014256	1005.6642602881554
3.85e-05	-0.012239902866592454	-3.728322193964289e-05	0.0052803282199701835	6.977468989586172e-05	2.6987132696189696e-06	0.005649293760995647	9.455490791585301	0.005665311374951298	9.402073946449248	69487.98750950569	372.254942579488
3.9e-05	-0.013369485641310951	-9.051476185702616e-05	0.005757461615806354	7.863581498069217e-05	2.7408800461098667e-06	0.006397833902445357	22.955674234034426	0.006418387755425151	22.80880764316643	76002.37906249575	903.7461282780445
3.95e-05	-0.01443972818755048	-9.907409304212882e-05	0.006274419790910771	8.8242014709863e-05	2.7807059738067013e-06	0.0072153580705691936	25.12642753786336	0.007241514662006368	24.945131366143467	81526.65596486375	989.206911254027
3.9999999999999996e-05	-0.015610630260851615	-7.99899155374562e-05	0.006866296776327494	9.862802619671284e-05	2.8179229315308716e-06	0.00811261067601153	20.28644174069865	0.008145696967638462	20.121865736854772	87307.94147692161	798.6606271190484
4.0499999999999995e-05	-0.016664353195133333	-8.734372921670093e-05	0.007555958414479066	0.00010980955009573611	2.8567648306070207e-06	0.009101077912618522	22.151460746826924	0.009142745729580067	21.949858576691742	90942.91747512632	872.0849007330397
