time	incid	trans	refl	U_in	U_out	eng_strain	eng_stress	true_strain	true_stress	F_in	F_out
5e-07	-0.0010625483393999619	-0.00021625300477351187	0.00021052386767601234	5.225017468327464e-07	1.0854947693732004e-07	2.0319561284758007e-05	54.68986300171819	2.031976772986928e-05	54.68875172769527	8507.052349482525	2159.181682444918
1e-06	-0.0009637485238356264	-0.00027180353511616865	0.00011243420647289956	9.147909249768194e-07	2.1047965328577306e-07	4.0415900859148636e-05	68.73845805959739	4.04167176036529e-05	68.73567993289124	8499.961801584399	2713.8268661804486
1.5e-06	-0.00048063880299837924	-0.0001864915261092009	0.00020697599315853678	1.1424831306053686e-06	2.6888429840340435e-07	7.691382629889252e-05	47.16325687393554	7.691678431894399e-05	47.159629367388646	2732.390825234769	1862.0277092931585
2e-06	3.699286941956353e-05	-7.610549244718899e-05	0.0003731201784695431	1.2415881483141962e-06	2.851515682229267e-07	0.0001277952839513918	19.24689536672222	0.0001278034504644173	19.244435704263648	-4094.780470963784	759.8765408948816
2.4999999999999998e-06	0.0003261217549133228	2.965136126979966e-06	0.00043558712298518326	1.219766342184327e-06	2.9383075884582156e-07	0.0001735507901352012	0.7498757704468318	0.0001735658518161942	0.7497456289143676	-7605.294817691139	-29.60545042153793
3e-06	0.0004992284117948268	-4.198822369928577e-05	0.00029164856639538544	1.075880068490188e-06	3.1176240948211933e-07	0.00020786287240747098	10.618720439072971	0.00020788447888852077	10.616513201341213	-7896.524194723509	419.23211002246427
3.5e-06	0.000693062747217578	-3.863546616994843e-05	0.00025370592504255494	8.853405782392973e-07	3.3207642946042536e-07	0.0002409995761548483	9.770816151456353	0.0002410286212193782	9.768461388905164	-9453.027377805794	385.75644733464964
4e-06	0.000690307642443843	-5.269975332251193e-05	0.00027296715986915295	6.943681806311815e-07	3.5357798656830344e-07	0.00026988842838800056	13.327640429556446	0.00026992485482412853	13.324043453626793	-9617.833104762152	526.1815536968253
4.5e-06	0.0006274940348122471	-4.3974831027359106e-05	0.00018619078900791397	5.525962993567059e-07	3.7679443305186315e-07	0.0002978592162552903	11.12112863785999	0.0002979035851222708	11.117816107200042	-8124.249504491084	439.0674235593988
4.9999999999999996e-06	0.0004545022525589953	-6.041018177047268e-05	0.0002583754915064068	4.197998915791963e-07	3.759533604938288e-07	0.000333285908722245	15.277589175679832	0.0003333414608142529	15.27249737048833	-7117.73955890581	603.1664533335967
5.5e-06	0.0007056425787562287	6.419178417015471e-05	0.00030469455770650434	3.1695092327234974e-07	3.3146660115109696e-07	0.0003775201309130187	16.23394729603142	0.0003775914095775745	16.227818654122988	-10087.727754020969	-640.923924681728
6e-06	0.000459840003173266	0.0001358281002946581	0.0003983619212206909	3.4660918055616966e-07	2.635550875707859e-07	0.00043178264370184554	34.35059875666695	0.0004318758886695119	34.335766764323054	-8568.73122725451	-1356.177901087086
6.5e-06	0.00026925714895701357	0.00016951338334801773	0.000464083698700524	5.00228198358176e-07	1.9667098009057562e-07	0.0004919059964688424	42.8695255447214	0.0004920270219139364	42.84843776804018	-7322.053753237522	-1692.5091636883217
7e-06	-4.356343556252238e-06	0.00013120871123425425	0.0004915138139076916	8.168259028790659e-07	1.5310196287432756e-07	0.0005588124193646093	33.182366411735075	0.0005589686132160561	33.16382369328029	-4864.031774035587	-1310.0555350475638
7.499999999999999e-06	-0.0003557124178249336	6.468485167286672e-05	0.0005718934705211318	1.2324127001685928e-06	1.2580577185764929e-07	0.0006206660431105143	16.358642877497036	0.0006208587360151293	16.348489623351604	-2158.4632757457266	-645.8469652710584
8e-06	-0.0005297367356634544	5.804337250328814e-05	0.0004112048810704068	1.620992098091252e-06	8.540595038303883e-08	0.0006673114967419356	14.679028824071835	0.0006675342481606721	14.669233339376525	1183.483251442345	-579.5350072831801
8.5e-06	-0.0004760005317558897	0.00012360095815013947	0.0003301755878035115	1.9146941316383457e-06	2.6943232732628766e-08	0.000698093831290533	31.25838401733138	0.0006983376122503933	31.236562732272773	1455.991550985831	-1234.0957992696106
9e-06	-0.0003552799008640323	0.0001392571641923791	0.0001590772727432227	2.1300380386266905e-06	-2.8700206772820763e-08	0.0007187056049847917	35.21780074068983	0.0007189639976710213	35.19248950990226	1958.9883670272782	-1390.4154459648867
9.499999999999999e-06	-0.0002853397122753475	0.00011092501373070696	0.0001685252105881628	2.2847514652704264e-06	-5.299448223755208e-08	0.0007350754328431336	28.05266826581054	0.0007353457332580224	28.032047438542644	1166.3363131118638	-1107.5326237576974
9.999999999999999e-06	-0.00015009642763842617	-1.6939021953642638e-06	9.16560012594069e-05	2.3131753240923096e-06	-6.63270747567947e-08	0.0007439300034693615	0.4283837771401378	0.0007442068567092296	0.4280650895953237	583.4993982349743	16.912794325860574
1.05e-05	0.00016303211649136136	6.163946026063227e-05	4.907809416651878e-05	2.3233742965593234e-06	-1.008009273585394e-07	0.0007728600289383688	15.588470739097636	0.0007731588392194937	15.57642303315111	-2117.817886469084	-615.4402046340977
1.1e-05	0.0002509239576629764	9.336072667891213e-05	0.0004107342600282564	2.4346266593504944e-06	-1.631152812863867e-07	0.0008383162737595548	23.61070246010271	0.000838667857352844	23.590909223995514	-6606.337355517065	-932.1617108440976
1.15e-05	0.0002892251049962727	0.00018681499430634385	0.0006296239678005616	2.5436687068824064e-06	-2.1409574553833448e-07	0.000918825943020612	47.245061200334085	0.0009192483223259311	47.20165121242362	-9174.263677826273	-1865.2573828269713
1.2e-05	0.0005001202662860497	4.2401669714455126e-05	0.0006499926228598264	2.5752042726199538e-06	-2.1074847010742092e-07	0.0009950497971307163	10.723279938497729	0.0009955451878329816	10.71260974097035	-11483.32105530008	-423.3601685600484
1.2499999999999999e-05	0.0005695886367437315	-5.745157793108102e-05	0.0005615054396535915	2.6067616005260496e-06	-2.0956686824381794e-07	0.0010605866650984625	14.529365404999046	0.0010611494851170053	14.513955753798161	-11293.427406647503	573.6262246449078
1.3e-05	0.00033016400545771385	5.213889901867809e-05	0.0004801342083683126	2.702230275789367e-06	-2.2285879008332525e-07	0.0011137192525036469	13.185801729683947	0.0011143398986502317	13.171116448437902	-8090.435841311797	-520.5816946769393
1.35e-05	8.507956242400779e-05	7.623796892053328e-06	0.0003643524349431598	2.813712029070061e-06	-2.518156581795664e-07	0.0011562919573439039	1.9280398347111964	0.001156960978661582	1.9258104577568813	-4487.3611686281765	-76.11992544215651
1.4e-05	9.032830115232567e-05	0.0001225711082133294	0.00031229597167538694	2.9299440269239126e-06	-2.96638106773253e-07	0.0011888951808792674	30.99793745375434	0.0011896024774113736	30.961084155298373	-4020.008673210282	-1223.8132456396334
1.45e-05	-9.473275796234405e-05	7.895809107198438e-05	0.0002058980058651536	3.114548713287317e-06	-3.169678964241194e-07	0.0012112545604096646	19.968310674464846	0.0012119887221124558	19.944123967096722	-1109.9312457997098	-788.3583587751768
1.4999999999999999e-05	-0.000379901837720909	1.2448031496586455e-05	0.00014948083578918852	3.3278293495229516e-06	-3.247276458113247e-07	0.0012287171814489204	3.1480771233786475	0.0012294726733255367	3.144209026928626	2300.64228306397	-124.2875751857253
1.55e-05	-0.00030149343845251416	2.244109503985291e-05	0.0001280691753255047	3.4962436174706198e-06	-3.5033359662599023e-07	0.001251624381466842	5.675298776188017	0.0012524083174602137	5.668195433867631	1731.557407156139	-224.06348246954363
1.6e-05	-9.163930664934911e-05	9.268752748135292e-05	0.0002360166973100078	3.6681756455908406e-06	-3.944849261687867e-07	0.0012929124600900988	23.44045200774049	0.0012937489925247195	23.410145555269537	-1441.5384313396223	-925.4401423852971
1.6499999999999998e-05	-2.516512428980465e-05	0.00010582420869798434	0.0004202139255173734	3.913498203127788e-06	-4.574238733882871e-07	0.0013536097524887364	26.76268698332968	0.0013545267097313718	26.72646074922624	-3944.371252439906	-1056.603552025666
1.7e-05	-0.00011312630155098461	0.0001771597878254249	0.0005445057544208712	4.16787742894208e-06	-5.425414066748783e-07	0.0014173187520056304	44.803282783207386	0.0014183240982710982	44.739782250367334	-4307.115241220719	-1768.854814938226
1.75e-05	-1.8017494467002486e-05	0.00020554282808663807	0.0004680818453598345	4.340723496055806e-06	-6.190347606881014e-07	0.0014752103292256958	51.98128516557304	0.0014762995233087986	51.90460183677036	-4493.674912804236	-2052.245747185816
1.8e-05	0.00016099855455971117	0.00013838404044914736	0.00045204394015403926	4.421828702841223e-06	-6.62205857823941e-07	0.0015277791324417086	34.996989853225394	0.0015289473770118904	34.94352218242936	-6120.932869962126	-1381.697727592057
