time	incid	trans	refl	U_in	U_out	eng_strain	eng_stress	true_strain	true_stress	F_in	F_out
5e-07	-0.0009110586464191238	-0.00028912947273881305	-3.32649305091031e-05	3.5319511516701327e-07	1.189019120371858e-07	8.656283331654747e-06	72.5052629995232	8.65632079752399e-06	72.50463537342364	9428.614283254752	2886.8179752990363
1e-06	-0.0008153263863213407	-0.0002454733407657139	-0.00010509599858794161	6.556757733644385e-07	2.2713198132304114e-07	2.2688535972438595e-05	61.55757475360424	2.2688793361151514e-05	61.55617810235507	9189.972438486151	2450.9326076879065
1.5e-06	-0.0007689668034753933	-0.00024114708908837265	-0.00011919373851013573	8.885664740463507e-07	3.360751347789674e-07	3.6668657595436785e-05	60.472676653467914	3.666932990710018e-05	60.470459201593826	8867.853537267461	2407.7370766702215
2e-06	-0.0005016050834637608	-0.00024867948604171466	-0.00010426274304636051	9.986057442350382e-07	4.417477440596906e-07	5.134434896523898e-05	62.36158274438114	5.134566713146009e-05	62.35838082951469	6049.297277295468	2482.944417921242
2.4999999999999998e-06	-0.000227724194887212	-0.00022644217738596379	-0.00013031163665790823	1.0353959444527702e-06	5.310441520576515e-07	6.996430650352525e-05	56.78511246200596	6.996675411977947e-05	56.78113953099283	3574.8146479666766	2260.9156439550347
3e-06	-0.00023530970423912836	-0.00017504935570753486	-0.00016730739058947334	1.046409085178556e-06	6.032903086485372e-07	8.618251201014195e-05	43.89728744442909	8.618622593616457e-05	43.8935042659267	4019.9370043601166	1747.783170751066
3.5e-06	-7.343694098401746e-05	-0.00014978140535118584	-9.192233840708608e-05	1.0612499650645979e-06	6.724862700183985e-07	8.396086859792006e-05	37.560820363810905	8.396439350899767e-05	37.55766672470791	1651.0324444162125	1495.4949048862904
4e-06	4.222033657781138e-05	-0.00016133516962793897	0.0001274328034485057	1.102894816164583e-06	7.404428255753287e-07	5.88621114350153e-05	40.458168425857956	5.886384387708583e-05	40.455786972639615	-1693.9045665411022	1610.8536543093528
4.5e-06	0.0001717128064684696	-0.00014420883024861194	0.0002737425309518256	1.1078732353475918e-06	8.001722878738872e-07	2.821713784839139e-05	36.163380595497465	2.821753595931964e-05	36.16236016840214	-4447.656141992399	1439.8554371335633
4.9999999999999996e-06	0.00029572874172265735	-0.00012434478715609064	0.00021608281962263943	1.0171045236638265e-06	8.587426267658827e-07	1.3877259692843511e-05	31.182056294608305	1.3877355982877398e-05	31.18162357311535	-5110.190951000638	1241.5225722118087
5.5e-06	0.00034158929822997847	-0.00013899721822546984	1.3123964481172986e-05	8.660972580468802e-07	9.184591909415175e-07	1.849201043981622e-05	34.856459869602645	1.849218141912965e-05	34.855815303582844	-3541.6404048042223	1387.8200111834658
6e-06	0.0002636029483025228	-0.00012949840706888015	-8.688555204006446e-05	7.376997239559084e-07	9.639930633873487e-07	3.1962935559353813e-05	32.47443428581343	3.196344638491402e-05	32.47339630756302	-1764.4377491026505	1292.9789749824097
6.5e-06	9.83762149917655e-05	-7.522947242631856e-05	-0.000128431997527672	6.877473127521595e-07	9.98173875144618e-07	4.5631816883194264e-05	18.865363782933994	4.563285804624775e-05	18.864502922108414	300.09245499753655	751.1299045903388
7e-06	-9.226350511574007e-05	-7.84531540363235e-05	-9.004965877022484e-05	7.284214226081139e-07	1.0332747455219626e-06	5.314178658222301e-05	19.673769376269266	5.314319865699015e-05	19.672723877015805	1820.3087829620313	783.3168066389238
7.499999999999999e-06	-0.00021065246996307944	-7.936620932528127e-05	-2.998873937791418e-05	8.433989480919747e-07	1.0684383209749348e-06	5.502990926937775e-05	19.902737088318435	5.503142347043e-05	19.90164184250225	2402.686112013316	792.4332221867301
8e-06	-0.0003364851598291112	-7.873508650719061e-05	-1.9077291792457738e-07	1.0241974935479856e-06	1.1016085502425198e-06	5.1864303093057044e-05	19.744469840510043	5.1865648092480546e-05	19.743445807341825	3361.546387153358	786.1317660306801
8.5e-06	-0.0004258165881244998	-7.040379265141553e-05	5.078941842544732e-05	1.2439872203492917e-06	1.1312092741002506e-06	4.374430177917403e-05	17.655223640815393	4.374525858909744e-05	17.65445132538447	3744.464943187415	702.9478255194459
9e-06	-0.00043260558949436697	-6.268599526691875e-05	7.899964727549126e-05	1.4562956395350397e-06	1.1608325531779896e-06	3.108905198153578e-05	15.719824513776302	3.108953525616281e-05	15.719335799334852	3530.5843451391947	625.8893506146484
