time	Tr_1.0	Tr_1.1	Tr_1.2	Tr_1.3	Tr_1.4	Tr_1.5	Tr_1.6	Tr_1.7	Tr_1.8	Tr_1.9	Line	Point
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.7543859649122806e-05	0.22921960516028148	0.3268583694306931	0.24360795454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2398681640625	1.6835938
3.508771929824561e-05	0.15725786747458953	0.26050265330188677	0.13515625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0645751953125	1.9335938
5.2631578947368424e-05	0.1815596901876466	0.26502659574468085	0.12683823529411764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.063720703125	2.0859375
7.017543859649122e-05	0.2615293930805317	0.38411942379182157	0.19163602941176472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16656494140625	1.7109375
8.771929824561403e-05	0.22693510555121188	0.3506953125	0.216796875	0.560546875	0.0	0.0	0.0	0.0	0.0	0.0	0.1575927734375	1.9882812
0.00010526315789473685	0.2940254837763878	0.4380985383064516	0.2835477941176471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27740478515625	2.4023438
0.00012280701754385965	0.2645255082095387	0.3763598549488055	0.236328125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26171875	1.5234375
0.00014035087719298245	0.2598832095387021	0.3815061475409836	0.1685546875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17529296875	1.5585938
0.00015789473684210527	0.3337171374120407	0.43017045454545455	0.2974917763157895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16754150390625	1.5703125
0.00017543859649122806	0.23789031958561377	0.3635943463740458	0.1990017361111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1798095703125	1.5507812
0.00019298245614035088	0.2685569781078968	0.3916970623028391	0.35509672619047616	0.58203125	0.0	0.0	0.0	0.0	0.0	0.0	0.17535400390625	2.3085938
0.0002105263157894737	3.054360706606724	5.737808132763975	8.497975593065693	10.561566235059761	18.73120777027027	23.078045280612244	26.002981085526315	28.766276041666668	29.79542824074074	32.22340029761905	2.79034423828125	54.45703
0.0002280701754385965	6.671761996677091	11.250642267520215	18.93901504088785	20.137825031328322	20.529125724871133	21.414659288194443	21.795771793948127	22.87280933277027	26.368950892857143	34.166566506410255	6.4163818359375	68.05078
0.0002456140350877193	10.619453674745895	19.008395937055475	30.53761472902098	32.700877434045225	33.315612949871465	34.12534283577128	34.61237899116848	34.875204459366394	35.44780939275568	36.209007626488095	10.50982666015625	76.77344
0.0002631578947368421	15.270288677677874	29.42676677178899	44.44763240903756	47.81904346446701	49.53464988425926	50.49886729336043	50.92336258561644	51.408756510416666	51.592244238826815	51.84359595070423	15.33709716796875	92.734375
0.0002807017543859649	19.96735731039875	37.28195601851852	57.399108178654295	62.74396125637755	65.55963052949062	66.46167191757493	67.2058442679558	68.07159629564607	68.91860491071428	69.4735255599711	20.06536865234375	102.21484
0.00029824561403508774	23.15397771696638	35.83439405487805	62.76276324728261	71.78316885964912	75.07531866776316	77.17306385869566	79.54291373239437	81.21842259754335	81.58663017805233	82.29574908088236	23.23052978515625	121.25781
0.00031578947368421053	24.066103889757624	41.173263302364866	64.92810639880952	73.54028742283951	77.72253321850394	79.34853830645162	80.8067372081044	82.07129726890756	83.16296073717949	83.69727684985632	24.16754150390625	134.1836
0.0003333333333333333	23.892967528342457	41.91848742219917	65.49035430372807	73.28265817901234	76.71426542207791	79.60994664634147	80.34584760273972	81.59491751047486	82.67360617897727	83.37648168103448	23.9547119140625	130.01562
0.0003508771929824561	24.02615874218139	33.34018027535441	62.42081113565489	71.42917228717026	76.01028645833334	79.41912693733154	80.16126319822888	81.06150725138122	82.30652508802817	83.37402623567336	24.0421142578125	126.84375
0.00036842105263157896	24.278037040656763	38.36586268703242	64.56612246260684	73.3359279492665	76.92350596005154	80.36964346205961	80.92765966530055	81.82868767313019	82.90060519366197	83.96517953080229	24.36279296875	126.81641
0.00038596491228070175	24.375592503909303	35.29655466970387	63.078343361801245	73.14231802360774	76.40872858502539	80.54654860175202	81.48804644808743	82.21220001726519	83.29716028792134	83.83346981232295	24.3905029296875	126.44141
0.00040350877192982455	24.57659181978108	39.269521410579344	65.9117439516129	74.37872478606357	77.51767303388746	81.35883657094594	82.30606806506849	83.03953860803324	83.76948748249299	84.30521716101696	24.5291748046875	126.08984
0.0004210526315789474	24.857041634089132	41.51748291337286	66.14299040511727	75.2718616289731	78.06679389312977	82.0920127190027	83.24269049657535	83.61406680440771	84.53772040851955	85.07911531690141	24.73583984375	129.17969
0.0004385964912280702	25.033125244331508	38.18202280912365	65.4031936453975	74.59703650841347	78.25351068037975	81.71016871675532	84.00985147664835	84.57457583102493	85.13559488477654	85.67547315140845	24.87921142578125	130.36328
0.000456140350877193	25.163528024824082	41.11854663337629	66.75079787234043	76.11220201711491	79.30339873721228	82.63516881702412	84.36543827266483	84.9295792936288	85.48978701117318	86.02873019366197	25.1429443359375	129.35156
0.00047368421052631577	25.36446931196247	35.94850891861761	65.2661968427835	74.26830304373523	78.79602880982368	82.45053464854111	84.57087815915301	85.33673601519337	85.89790433495821	86.08826160963687	25.235595703125	130.35938
0.0004912280701754386	25.49038555512119	43.68828973032564	67.42128490691489	76.85854408618582	79.89585658482143	83.42833654490616	85.17070527129121	85.93619791666667	86.1189284470752	86.48286502100841	25.33563232421875	130.08203
